지점,지점명,일시,평균기온(°C)
300,말도,2017-02,2.2
300,말도,2017-03,5.4
300,말도,2017-04,10.8
300,말도,2017-05,16.3
300,말도,2017-06,19.8
300,말도,2017-07,25.2
300,말도,2017-08,26.1
300,말도,2017-09,21.8
300,말도,2017-10,17
300,말도,2017-11,9.3
300,말도,2017-12,3.3
300,말도,2018-01,-.1
300,말도,2018-02,.3
300,말도,2018-03,6.4
300,말도,2018-04,11.5
300,말도,2018-05,15.5
300,말도,2018-06,20
300,말도,2018-07,25.3
300,말도,2018-08,27.2
300,말도,2018-10,15.6
300,말도,2018-11,11.3
300,말도,2019-01,2.5
300,말도,2019-02,2.4
300,말도,2019-03,6.1
300,말도,2019-04,10.4
300,말도,2019-05,15.8
300,말도,2019-06,19.3
300,말도,2019-07,23.2
300,말도,2019-09,22.5
300,말도,2019-10,17.7
300,말도,2019-11,11.7
300,말도,2019-12,5.6
301,임자도,2015-01,3
301,임자도,2015-02,3.6
301,임자도,2015-03,6.3
301,임자도,2015-04,12
301,임자도,2015-05,17
301,임자도,2015-06,21.4
301,임자도,2015-07,24
301,임자도,2015-08,25.3
301,임자도,2015-09,21.4
301,임자도,2015-10,17
301,임자도,2015-11,12.4
301,임자도,2015-12,6.6
301,임자도,2016-01,2.3
301,임자도,2016-02,3.6
301,임자도,2016-03,7
301,임자도,2016-04,12.4
301,임자도,2016-05,17.5
301,임자도,2016-06,21.5
301,임자도,2016-07,25.3
301,임자도,2016-08,26.7
301,임자도,2016-09,22.2
301,임자도,2016-10,17.3
301,임자도,2016-11,10.2
301,임자도,2016-12,5.8
301,임자도,2017-01,3.2
301,임자도,2017-02,3.1
301,임자도,2017-03,6.2
301,임자도,2017-04,12.5
301,임자도,2017-05,17.4
301,임자도,2017-06,20.9
301,임자도,2017-07,26
301,임자도,2017-08,26
301,임자도,2017-09,21.4
301,임자도,2017-10,16.4
301,임자도,2017-11,9.4
301,임자도,2017-12,3.3
301,임자도,2018-01,.6
301,임자도,2018-02,1.3
301,임자도,2018-03,7.2
301,임자도,2018-04,12.2
301,임자도,2018-05,16.7
301,임자도,2018-06,21.1
301,임자도,2018-07,26.4
301,임자도,2018-08,27.7
301,임자도,2018-09,22.1
301,임자도,2018-10,15.5
301,임자도,2018-11,10.6
301,임자도,2018-12,4.1
301,임자도,2019-01,2.8
301,임자도,2019-02,3.2
301,임자도,2019-03,7.1
301,임자도,2019-04,11.2
301,임자도,2019-05,16.7
301,임자도,2019-06,20.1
301,임자도,2019-07,23.7
301,임자도,2019-08,25.9
301,임자도,2019-09,22.1
301,임자도,2019-10,17.2
301,임자도,2019-11,11.7
301,임자도,2019-12,6
302,장산도,2015-01,3.5
302,장산도,2015-02,3.9
302,장산도,2015-03,7
302,장산도,2015-04,12.2
302,장산도,2015-05,16.7
302,장산도,2015-06,20.3
302,장산도,2015-07,23.3
302,장산도,2015-08,24.4
302,장산도,2015-09,21.2
302,장산도,2015-10,17.2
302,장산도,2015-11,12.4
302,장산도,2015-12,7
302,장산도,2016-01,2.7
302,장산도,2016-02,4.1
302,장산도,2016-03,7.3
302,장산도,2016-04,12.8
302,장산도,2016-05,17.5
302,장산도,2016-06,20.9
302,장산도,2016-07,24.7
302,장산도,2016-08,26.4
302,장산도,2016-09,22.2
302,장산도,2016-10,17.4
302,장산도,2016-11,10.7
302,장산도,2016-12,6.3
302,장산도,2017-01,3.4
302,장산도,2017-02,3.4
302,장산도,2017-03,6.6
302,장산도,2017-04,12.9
302,장산도,2017-05,17.4
302,장산도,2017-06,20.8
302,장산도,2017-07,25.9
302,장산도,2017-08,25.9
302,장산도,2017-09,21.7
302,장산도,2017-10,16.9
302,장산도,2017-11,9.9
302,장산도,2017-12,3.9
302,장산도,2018-01,1.3
302,장산도,2018-02,2
302,장산도,2018-03,8.3
302,장산도,2018-04,13.1
302,장산도,2018-05,17.3
302,장산도,2018-06,21.4
302,장산도,2018-07,26.3
302,장산도,2018-08,27.5
302,장산도,2018-09,21.8
302,장산도,2018-10,15.9
302,장산도,2018-11,11.3
302,장산도,2018-12,4.9
302,장산도,2019-01,3.3
302,장산도,2019-02,3.9
302,장산도,2019-03,7.8
302,장산도,2019-04,11.8
302,장산도,2019-05,17.3
302,장산도,2019-06,20.1
302,장산도,2019-07,23.6
302,장산도,2019-08,25.6
302,장산도,2019-09,22
302,장산도,2019-10,17.5
302,장산도,2019-11,12.2
302,장산도,2019-12,6.4
303,가거도,2015-01,5.7
303,가거도,2015-02,5.5
303,가거도,2015-03,7.8
303,가거도,2015-04,11.9
303,가거도,2015-05,16.6
303,가거도,2015-06,20.1
303,가거도,2015-07,23
303,가거도,2015-08,24.8
303,가거도,2015-09,22
303,가거도,2015-10,18.1
303,가거도,2015-11,13.5
303,가거도,2015-12,8.5
303,가거도,2016-01,4.4
303,가거도,2016-02,5.8
303,가거도,2016-03,8.4
303,가거도,2016-04,12.8
303,가거도,2016-05,16.6
303,가거도,2016-06,20.5
303,가거도,2016-07,25
303,가거도,2016-08,27.2
303,가거도,2016-09,22.8
303,가거도,2016-10,18.6
303,가거도,2016-11,12.3
303,가거도,2016-12,8.1
303,가거도,2017-01,5.9
303,가거도,2017-02,5.2
303,가거도,2017-03,7.3
303,가거도,2017-04,12.5
303,가거도,2017-05,17.6
303,가거도,2017-06,20.3
303,가거도,2017-07,25.9
303,가거도,2017-08,26.1
303,가거도,2017-09,21.6
303,가거도,2017-10,16.5
303,가거도,2017-12,5.4
303,가거도,2018-01,3
303,가거도,2018-02,3.3
303,가거도,2018-03,8.6
303,가거도,2018-04,12.8
303,가거도,2018-05,16.1
303,가거도,2018-06,20.5
303,가거도,2018-07,25.2
303,가거도,2018-08,26.8
303,가거도,2018-09,22.1
303,가거도,2018-10,16.3
303,가거도,2018-11,12.5
303,가거도,2018-12,6.6
303,가거도,2019-01,4.6
303,가거도,2019-02,4.8
303,가거도,2019-03,8
303,가거도,2019-04,11.5
303,가거도,2019-05,16.7
303,가거도,2019-06,19.2
303,가거도,2019-07,22.8
303,가거도,2019-08,25.8
303,가거도,2019-10,17.8
303,가거도,2019-11,12.8
303,가거도,2019-12,8
304,신지도,2015-01,3.9
304,신지도,2015-02,4.6
304,신지도,2015-03,8.1
304,신지도,2015-04,12.9
304,신지도,2015-05,17.7
304,신지도,2015-06,20.1
304,신지도,2015-07,23.1
304,신지도,2015-08,24.8
304,신지도,2015-09,21.9
304,신지도,2015-10,17.2
304,신지도,2015-11,12.9
304,신지도,2015-12,7.1
304,신지도,2016-01,2.9
304,신지도,2016-02,4.5
304,신지도,2016-03,8.5
304,신지도,2016-04,14.1
304,신지도,2016-05,17.8
304,신지도,2016-06,20.9
304,신지도,2016-07,24.9
304,신지도,2016-08,27
304,신지도,2016-09,22.7
304,신지도,2016-10,18.3
304,신지도,2016-11,10.8
304,신지도,2016-12,6.5
304,신지도,2017-01,3.7
304,신지도,2017-02,4.1
304,신지도,2017-03,7.7
304,신지도,2017-04,14.1
304,신지도,2017-05,17.8
304,신지도,2017-06,20.6
304,신지도,2017-07,25.5
304,신지도,2017-08,26.5
304,신지도,2017-09,22.4
304,신지도,2017-10,17.4
304,신지도,2017-11,9.9
304,신지도,2017-12,3.6
304,신지도,2018-01,1.6
304,신지도,2018-02,3.3
304,신지도,2018-03,8.9
304,신지도,2018-04,13.6
304,신지도,2018-05,17.6
304,신지도,2018-06,21.4
304,신지도,2018-07,26.2
